1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
2;2
2;2
2;2
2;2
2;2
2;2
2;2
2;2
4;4
4;4
4;3
4;3
4;3
4;3
4;3
4;3
8;5
8;7
8;6
8;4
8;5
8;7
8;6
8;5
16;7
16;10
16;7
16;8
16;8
16;9
16;10
16;9
32;9
32;13
32;10
32;9
32;14
32;11
32;11
32;14
64;27
64;16
64;16
64;20
64;15
64;26
64;14
64;20
128;31
128;30
128;23
128;25
128;20
128;18
128;15
128;24
256;30
256;27
256;23
256;35
256;31
256;29
256;20
256;23
512;44
512;31
512;36
512;35
512;42
512;40
512;30
512;35
1024;57
1024;39
1024;56
1024;37
1024;59
1024;69
1024;46
1024;37
2048;39
2048;51
2048;50
2048;52
2048;45
2048;36
2048;53
2048;75
4096;61
4096;58
4096;56
4096;69
4096;67
4096;54
4096;51
4096;51
8192;87
8192;57
8192;59
8192;68
8192;61
8192;69
8192;64
8192;76
16384;97
16384;102
16384;81
16384;95
16384;67
16384;96
16384;79
16384;84
32768;92
32768;123
32768;90
32768;109
32768;120
32768;125
32768;90
32768;85
65536;121
65535;119
65536;94
65536;99
65536;97
65535;132
65535;133
65536;104
131070;134
131072;110
131069;166
131072;141
131070;127
131069;116
131072;122
131069;161
262135;145
262135;129
262129;121
262138;225
262139;130
262138;131
262138;98
262138;122
524269;182
524262;127
524257;158
524260;145
524259;202
524248;228
524254;144
524258;183
1048456;179
1048449;188
1048446;293
1048453;158
1048425;154
1048470;149
1048443;170
